original_question,short_question
Comment - application for performance improvement,Comment - General
Comment - general,Comment - General
Comment - General ,Comment - General
Comment - OL Not Available,Comment - General
Comments,Comment - General
Comments  ,Comment - General
Comments for Improvement,Comment - Improvement
Describe technical issues,Comment - Technical
GCCampus Tools Used,GCcampus Tools Used
Issue Description,Comment - Technical
Official Language Available ,OL Available
Prep - Did not prepare,Prep
Prep - Discuss with supervisor,Prep
Prep - Job related development,Prep
Prep - Pre-course work,Prep
Prep - Related courses,Prep
Reason to Participate,Reason to Participate
Technical Issues,Technical Issues
Technical Issues?,Technical Issues
2. Satisfaction Overall Comments,Comment - General
8. Technical Experience,Comment - Technical
24. Comments you would like to share to help the School improve,Comment - Improvement
